treaty_id,treaty_type,exposure_amount,retention_rate,premium_rate,risk_category,geographic_zone,loss_ratio_estimate,commission_rate
TRT000048,excess_of_loss,3652046,0.079,0.0586,casualty,asia_pacific,0.777,0.206
TRT000049,quota_share,4675046,0.367,0.0817,aviation,europe,0.405,0.267
TRT000050,excess_of_loss,3433046,0.282,0.0732,specialty,north_america,0.653,0.243
TRT000051,catastrophe,3784046,0.141,0.0562,marine,asia_pacific,0.777,0.242
TRT000052,excess_of_loss,4798046,0.303,0.0828,casualty,global,0.405,0.228
TRT000053,excess_of_loss,3311046,0.383,0.0766,aviation,north_america,0.653,0.266
TRT000054,excess_of_loss,1750046,0.315,0.0835,specialty,europe,0.777,0.235
TRT000055,excess_of_loss,4012046,0.372,0.0822,marine,asia_pacific,0.405,0.222
TRT000056,excess_of_loss,1756046,0.261,0.0611,casualty,north_america,0.777,0.211
TRT000057,quota_share,3876046,0.283,0.0633,aviation,global,0.653,0.233
TRT000058,excess_of_loss,3986046,0.383,0.0766,specialty,north_america,0.405,0.266
TRT000059,quota_share,4084046,0.386,0.0736,marine,asia_pacific,0.777,0.236
TRT000060,quota_share,1896046,0.218,0.0568,casualty,north_america,0.653,0.268
TRT000061,catastrophe,4137046,0.363,0.0726,aviation,global,0.405,0.226
TRT000062,catastrophe,3830046,0.299,0.0649,specialty,asia_pacific,0.777,0.249
TRT000063,quota_share,3203046,0.382,0.0782,marine,europe,0.653,0.282
TRT000064,quota_share,970046,0.275,0.0625,casualty,north_america,0.405,0.225
TRT000065,excess_of_loss,1853046,0.364,0.0814,aviation,asia_pacific,0.777,0.214
TRT000066,excess_of_loss,3283046,0.383,0.0833,specialty,north_america,0.653,0.233
TRT000067,catastrophe,3331046,0.405,0.0755,marine,global,0.405,0.255
TRT000068,quota_share,857046,0.372,0.0772,casualty,europe,0.777,0.272
TRT000069,quota_share,3519046,0.251,0.0601,aviation,north_america,0.653,0.201
TRT000070,quota_share,1167046,0.343,0.0693,specialty,asia_pacific,0.405,0.293
TRT000071,excess_of_loss,4968046,0.268,0.0618,marine,north_america,0.777,0.218
TRT000072,catastrophe,1645046,0.298,0.0648,casualty,global,0.653,0.248
TRT000073,quota_share,4685046,0.224,0.0574,aviation,europe,0.405,0.274
TRT000074,catastrophe,4219046,0.252,0.0602,specialty,north_america,0.777,0.202
TRT000075,excess_of_loss,3245046,0.35,0.07,marine,asia_pacific,0.653,0.2
TRT000076,catastrophe,1039046,0.343,0.0693,casualty,north_america,0.405,0.293
TRT000077,quota_share,3279046,0.256,0.0606,aviation,global,0.777,0.206
TRT000078,catastrophe,4636046,0.238,0.0588,specialty,north_america,0.653,0.288
TRT000079,quota_share,4275046,0.308,0.0658,marine,asia_pacific,0.405,0.258
TRT000080,quota_share,3008046,0.38,0.073,casualty,europe,0.777,0.23
TRT000081,quota_share,3279046,0.241,0.0591,aviation,north_america,0.653,0.291
TRT000082,excess_of_loss,1424046,0.385,0.0735,specialty,asia_pacific,0.405,0.235
TRT000083,catastrophe,3456046,0.372,0.0772,marine,global,0.777,0.272
TRT000084,catastrophe,2081046,0.321,0.0671,casualty,north_america,0.653,0.271
TRT000085,excess_of_loss,3824046,0.332,0.0682,aviation,europe,0.405,0.282
TRT000086,quota_share,4985046,0.362,0.0712,specialty,north_america,0.777,0.212
TRT000087,excess_of_loss,755046,0.364,0.0764,marine,asia_pacific,0.653,0.264
TRT000088,catastrophe,2338046,0.42,0.077,casualty,north_america,0.405,0.27
TRT000089,catastrophe,2444046,0.434,0.0784,aviation,global,0.777,0.284
TRT000090,catastrophe,509046,0.345,0.0695,specialty,asia_pacific,0.653,0.295
TRT000091,quota_share,3371046,0.438,0.0788,marine,europe,0.405,0.288
TRT000092,quota_share,1297046,0.275,0.0625,casualty,north_america,0.777,0.225
TRT000093,catastrophe,1515046,0.208,0.0558,aviation,north_america,0.653,0.258
TRT000094,quota_share,2324046,0.273,0.0623,specialty,asia_pacific,0.405,0.223
TRT000095,catastrophe,4969046,0.452,0.0802,marine,global,0.777,0.302
TRT000096,catastrophe,3636046,0.429,0.0779,casualty,north_america,0.653,0.279
TRT000097,catastrophe,2693046,0.206,0.0556,aviation,europe,0.405,0.256
TRT000098,quota_share,723046,0.373,0.0723,specialty,north_america,0.777,0.223
TRT000099,catastrophe,4658046,0.34,0.069,marine,asia_pacific,0.653,0.29
TRT000100,catastrophe,4425046,0.367,0.0717,casualty,global,0.405,0.217
